@relation creditos

@attribute nivelRenta {alto,medio,bajo}
@attribute patrimonio {alto,medio,bajo}
@attribute tamanoCredito REAL
@attribute edadPeticionario REAL
@attribute numeroHijos REAL
@attribute funcionario {si,no}
@attribute nivelEstudios {ninguno,licenciatura,posgrado}
@attribute autorizo {si,no}

@data
bajo,bajo,39000,47,6,no,ninguno,no
bajo,bajo,50000,36,4,no,ninguno,si
alto,alto,52000,59,2,si,posgrado,si
bajo,bajo,3000,34,6,si,ninguno,no
alto,alto,51000,25,0,si,posgrado,si
alto,alto,87000,33,2,si,posgrado,no
bajo,bajo,13000,58,5,si,ninguno,no
medio,alto,60000,33,1,si,posgrado,si
bajo,bajo,13000,35,5,no,ninguno,si
bajo,bajo,44000,22,6,no,licenciatura,si
bajo,bajo,3000,27,4,si,licenciatura,si
alto,alto,79000,42,0,no,posgrado,si
medio,bajo,5000,24,2,si,posgrado,si
bajo,bajo,10000,37,4,si,licenciatura,no
bajo,bajo,7000,40,5,si,licenciatura,no
alto,medio,46000,54,2,si,licenciatura,no
bajo,bajo,4000,52,5,no,ninguno,no
medio,medio,47000,30,0,no,licenciatura,si
medio,alto,100000,33,2,si,licenciatura,si
bajo,bajo,27000,33,4,no,ninguno,no
bajo,bajo,37000,50,4,si,posgrado,no
bajo,medio,74000,47,0,no,ninguno,no
medio,alto,80000,55,1,si,posgrado,si
alto,medio,49000,31,2,si,licenciatura,si
alto,alto,87000,47,0,si,licenciatura,si
medio,alto,57000,53,0,si,posgrado,si
alto,alto,80000,55,0,si,posgrado,si
alto,alto,65000,57,0,si,posgrado,si
medio,medio,74000,20,1,si,ninguno,si
bajo,bajo,31000,33,5,si,licenciatura,no
alto,alto,87000,33,1,si,posgrado,si
bajo,bajo,18000,56,6,si,licenciatura,no
alto,medio,51000,22,2,si,licenciatura,si
alto,alto,54000,23,0,no,posgrado,si
alto,alto,57000,55,1,si,posgrado,si
alto,medio,53000,25,1,no,licenciatura,no
medio,bajo,12000,32,2,si,licenciatura,no
bajo,bajo,50000,51,4,no,ninguno,si
alto,alto,57000,34,1,si,licenciatura,no
medio,medio,65000,45,2,si,licenciatura,si
alto,alto,70000,26,1,si,posgrado,si
medio,bajo,8000,56,2,no,ninguno,si
alto,alto,84000,55,0,no,ninguno,no
bajo,bajo,15000,45,6,no,ninguno,no
bajo,bajo,44000,50,5,si,licenciatura,no
medio,bajo,43000,60,1,no,ninguno,si
medio,bajo,17000,52,1,no,ninguno,no
bajo,bajo,8000,30,6,no,ninguno,si
medio,medio,35000,42,0,si,ninguno,si
medio,alto,96000,40,1,si,licenciatura,si
medio,bajo,21000,59,2,si,licenciatura,si
medio,medio,37000,44,1,si,ninguno,si
alto,alto,70000,45,2,si,posgrado,si
alto,alto,51000,39,0,si,posgrado,si
bajo,bajo,41000,56,4,si,licenciatura,no
medio,alto,71000,37,1,si,posgrado,si
bajo,bajo,3000,33,4,si,licenciatura,no
medio,bajo,36000,31,2,si,licenciatura,si
medio,medio,52000,52,1,no,licenciatura,no
medio,medio,53000,27,0,si,licenciatura,si
medio,medio,65000,42,2,si,licenciatura,si
bajo,bajo,47000,23,4,no,licenciatura,no
alto,alto,89000,55,0,si,posgrado,si
medio,medio,79000,20,2,si,licenciatura,no
medio,medio,78000,32,2,no,licenciatura,no
alto,medio,50000,57,1,si,ninguno,si
bajo,bajo,37000,50,6,si,licenciatura,no
bajo,bajo,15000,46,6,no,ninguno,no
bajo,bajo,14000,50,4,no,ninguno,si
medio,medio,34000,52,2,si,licenciatura,no
bajo,bajo,43000,25,4,si,licenciatura,no
bajo,bajo,17000,47,6,si,licenciatura,no
bajo,bajo,25000,48,6,si,posgrado,no
alto,alto,89000,42,2,si,posgrado,si
medio,alto,81000,44,1,si,posgrado,si
bajo,bajo,12000,38,6,si,ninguno,no
alto,alto,67000,37,2,si,posgrado,si
medio,medio,52000,32,2,no,licenciatura,no
medio,medio,67000,27,1,si,licenciatura,no
bajo,bajo,6000,49,6,no,ninguno,no
bajo,bajo,17000,53,4,si,ninguno,no
medio,bajo,24000,49,2,no,ninguno,no
bajo,medio,71000,60,1,si,licenciatura,si
medio,alto,72000,53,2,no,posgrado,si
medio,alto,55000,49,1,si,licenciatura,si
alto,alto,82000,58,2,si,posgrado,si
bajo,bajo,26000,59,5,si,posgrado,no
medio,medio,30000,56,2,si,posgrado,no
medio,medio,63000,45,2,si,licenciatura,no
bajo,bajo,49000,44,4,si,licenciatura,no
medio,medio,41000,32,1,si,licenciatura,si
medio,medio,35000,50,2,si,licenciatura,si
bajo,bajo,40000,36,4,si,ninguno,no
bajo,bajo,24000,45,6,si,licenciatura,no
bajo,bajo,33000,42,4,si,ninguno,no
medio,bajo,11000,40,2,no,licenciatura,no
alto,medio,47000,48,1,si,licenciatura,si
bajo,bajo,50000,34,4,si,posgrado,no
bajo,bajo,44000,37,6,si,licenciatura,no
bajo,medio,52000,36,0,si,licenciatura,no
alto,alto,76000,23,2,no,licenciatura,si
bajo,bajo,49000,22,4,si,licenciatura,no
alto,alto,73000,42,1,si,licenciatura,si
bajo,bajo,11000,24,5,no,ninguno,si
medio,alto,90000,32,1,si,licenciatura,si
bajo,bajo,19000,56,5,no,ninguno,si
medio,medio,79000,26,0,si,licenciatura,no
alto,alto,54000,39,0,si,posgrado,si
bajo,bajo,16000,28,4,si,ninguno,no
alto,medio,72000,47,2,si,licenciatura,no
alto,medio,52000,47,0,si,licenciatura,si
alto,alto,79000,31,0,si,licenciatura,si
bajo,bajo,4000,51,5,si,licenciatura,no
bajo,medio,45000,24,0,si,licenciatura,si
bajo,bajo,4000,51,6,si,ninguno,si
alto,alto,51000,50,1,no,posgrado,si
bajo,bajo,4000,53,6,no,ninguno,no
bajo,bajo,16000,26,5,si,licenciatura,no
alto,alto,50000,58,0,no,licenciatura,si
medio,medio,45000,23,1,no,ninguno,no
medio,bajo,23000,53,2,no,ninguno,no
medio,medio,58000,36,0,si,posgrado,si
bajo,bajo,50000,55,5,no,ninguno,no
bajo,bajo,3000,23,5,si,ninguno,si
bajo,bajo,32000,45,5,si,ninguno,no
alto,alto,92000,60,1,no,licenciatura,no
alto,medio,38000,39,0,si,posgrado,si
alto,medio,34000,24,2,si,licenciatura,si
bajo,medio,39000,51,1,no,licenciatura,si
alto,alto,57000,58,1,si,licenciatura,si
alto,medio,56000,56,0,si,licenciatura,no
alto,medio,77000,35,0,si,posgrado,si
medio,medio,35000,51,1,si,licenciatura,si
medio,alto,83000,25,1,si,licenciatura,si
medio,medio,64000,38,1,no,ninguno,si
bajo,bajo,47000,27,6,si,licenciatura,no
alto,alto,60000,30,0,si,licenciatura,si
bajo,bajo,34000,43,4,si,ninguno,no
bajo,bajo,23000,20,4,no,ninguno,no
bajo,bajo,45000,30,5,si,ninguno,no
medio,medio,68000,28,1,si,licenciatura,no
bajo,bajo,26000,59,6,si,ninguno,no
alto,medio,55000,36,1,no,licenciatura,no
medio,bajo,47000,50,0,no,licenciatura,si
medio,alto,69000,43,2,si,licenciatura,si
alto,alto,57000,22,1,no,posgrado,si
bajo,bajo,34000,46,5,no,ninguno,no
medio,alto,69000,43,2,si,licenciatura,si
bajo,bajo,47000,25,6,si,licenciatura,no
bajo,bajo,3000,32,4,si,ninguno,no
bajo,bajo,37000,25,6,si,ninguno,no
bajo,bajo,8000,53,5,si,ninguno,no
bajo,bajo,21000,59,6,si,licenciatura,no
alto,alto,90000,33,1,no,licenciatura,no
bajo,bajo,7000,31,4,si,ninguno,no
bajo,bajo,31000,41,5,si,ninguno,no
medio,bajo,30000,34,1,si,posgrado,si
bajo,bajo,2000,31,6,no,ninguno,no
bajo,bajo,13000,23,5,si,ninguno,no
medio,bajo,43000,20,0,no,ninguno,si
bajo,medio,76000,28,1,si,posgrado,si
alto,alto,59000,47,2,si,posgrado,si
bajo,medio,41000,55,0,no,posgrado,si
medio,alto,67000,39,1,si,posgrado,no
medio,alto,50000,24,0,no,posgrado,si
medio,bajo,38000,37,2,si,ninguno,si
bajo,medio,73000,33,1,si,licenciatura,si
medio,medio,67000,41,2,si,licenciatura,no
alto,alto,63000,26,1,no,posgrado,si
alto,alto,97000,53,0,si,posgrado,si
alto,alto,96000,32,0,no,licenciatura,si
medio,alto,82000,55,0,si,licenciatura,si
medio,medio,74000,45,1,si,licenciatura,si
medio,alto,79000,23,1,si,posgrado,si
alto,alto,78000,48,1,no,licenciatura,si
bajo,bajo,25000,42,6,no,ninguno,si
bajo,bajo,23000,31,6,no,ninguno,no
bajo,bajo,30000,43,4,si,licenciatura,no
medio,alto,64000,52,0,si,posgrado,si
alto,alto,99000,27,0,si,posgrado,si
bajo,bajo,14000,53,4,si,ninguno,no
medio,bajo,17000,53,1,si,licenciatura,si
bajo,bajo,19000,40,4,si,licenciatura,no
alto,alto,76000,52,2,si,posgrado,si
alto,alto,55000,60,2,no,licenciatura,si
bajo,bajo,32000,32,5,no,ninguno,no
alto,alto,97000,48,1,si,licenciatura,si
alto,alto,52000,53,1,si,posgrado,si
alto,alto,99000,52,2,si,posgrado,si
alto,alto,58000,56,0,si,licenciatura,si
alto,alto,92000,53,1,si,licenciatura,si
bajo,bajo,13000,57,5,no,ninguno,no
medio,medio,32000,34,0,si,posgrado,si
bajo,bajo,22000,34,6,no,ninguno,no
bajo,bajo,15000,38,6,si,licenciatura,si
medio,bajo,46000,53,2,no,ninguno,no
bajo,medio,78000,26,0,si,licenciatura,si
bajo,bajo,13000,24,6,si,ninguno,si
alto,medio,60000,51,0,no,licenciatura,si
medio,medio,71000,57,2,si,licenciatura,no
medio,medio,37000,59,0,no,ninguno,no
medio,medio,69000,29,0,si,licenciatura,si
bajo,bajo,24000,39,4,si,licenciatura,no
alto,medio,41000,34,0,no,licenciatura,si
bajo,bajo,5000,27,5,si,licenciatura,si
medio,medio,79000,39,1,si,posgrado,no
bajo,bajo,28000,49,6,no,ninguno,no
bajo,bajo,41000,59,4,si,ninguno,no
medio,medio,72000,23,2,si,licenciatura,no
medio,bajo,44000,38,2,si,licenciatura,si
bajo,bajo,32000,21,6,si,licenciatura,no
bajo,bajo,7000,36,4,no,ninguno,no
medio,medio,38000,41,2,si,ninguno,si
bajo,bajo,14000,39,6,no,ninguno,no
medio,medio,46000,58,0,si,licenciatura,si
medio,bajo,36000,39,1,si,ninguno,si
bajo,medio,57000,43,0,si,licenciatura,no
alto,alto,59000,38,0,no,licenciatura,si
alto,alto,65000,29,0,si,licenciatura,si
bajo,bajo,32000,49,5,no,licenciatura,no
alto,alto,60000,28,0,si,licenciatura,si
alto,alto,70000,54,1,no,ninguno,no
alto,alto,61000,50,1,si,posgrado,si
bajo,bajo,6000,35,6,no,ninguno,no
alto,alto,57000,38,0,si,licenciatura,si
alto,alto,52000,44,2,si,licenciatura,si
medio,bajo,42000,21,2,si,ninguno,si
medio,medio,47000,35,1,si,licenciatura,si
bajo,bajo,31000,50,6,si,licenciatura,no
alto,alto,76000,23,0,si,posgrado,si
medio,alto,55000,33,2,si,posgrado,si
alto,alto,100000,28,2,si,posgrado,si
bajo,bajo,41000,38,5,si,ninguno,si
alto,alto,53000,57,1,no,licenciatura,si
alto,alto,64000,38,0,si,licenciatura,si
medio,alto,73000,60,0,si,posgrado,si
alto,alto,58000,21,0,si,posgrado,si
bajo,bajo,7000,25,5,si,licenciatura,no
bajo,bajo,7000,20,5,si,licenciatura,no
alto,alto,74000,23,0,si,licenciatura,si
bajo,bajo,32000,34,6,no,licenciatura,si
medio,medio,65000,46,1,si,licenciatura,si
medio,medio,71000,38,1,no,licenciatura,no
bajo,medio,36000,37,0,si,licenciatura,si
bajo,bajo,24000,32,4,no,ninguno,no
medio,alto,73000,32,2,si,licenciatura,si
alto,alto,85000,43,1,si,licenciatura,no
bajo,bajo,31000,60,4,si,ninguno,no
medio,alto,58000,44,0,si,licenciatura,si
alto,alto,72000,34,1,no,licenciatura,si
bajo,bajo,41000,52,5,no,ninguno,no
alto,alto,85000,32,2,si,licenciatura,si
bajo,medio,77000,60,1,si,posgrado,si
alto,alto,83000,56,0,si,licenciatura,si
bajo,bajo,10000,42,4,no,licenciatura,no
bajo,bajo,26000,57,4,no,ninguno,no
bajo,bajo,17000,21,5,si,licenciatura,no
alto,alto,57000,21,0,si,licenciatura,no
alto,alto,63000,55,2,si,licenciatura,si
medio,medio,51000,26,2,si,licenciatura,si
bajo,bajo,50000,32,4,no,ninguno,no
bajo,bajo,43000,44,6,si,ninguno,no
medio,bajo,45000,60,0,no,licenciatura,no
alto,alto,71000,42,2,si,posgrado,si
bajo,bajo,36000,56,5,no,ninguno,no
alto,alto,73000,41,2,si,licenciatura,si
alto,alto,58000,32,2,si,licenciatura,si
bajo,bajo,2000,45,6,no,ninguno,no
bajo,bajo,34000,33,5,si,ninguno,no
bajo,bajo,40000,59,5,si,licenciatura,no
bajo,bajo,28000,53,6,si,ninguno,no
medio,medio,33000,57,0,no,posgrado,si
medio,medio,56000,45,1,no,ninguno,no
bajo,bajo,38000,28,6,si,ninguno,no
alto,alto,71000,53,1,si,posgrado,si
alto,medio,79000,33,2,si,licenciatura,si
bajo,bajo,3000,47,4,no,ninguno,no
alto,alto,83000,33,2,si,posgrado,si
medio,medio,55000,35,2,si,licenciatura,si
medio,medio,53000,29,1,si,posgrado,si
alto,alto,97000,60,2,si,posgrado,si
bajo,bajo,3000,23,6,si,licenciatura,no
medio,medio,61000,25,2,si,licenciatura,si
medio,medio,61000,24,2,si,licenciatura,no
bajo,bajo,38000,24,5,si,ninguno,no
alto,alto,74000,39,2,si,posgrado,si
medio,medio,43000,52,0,si,licenciatura,si
bajo,bajo,50000,22,6,no,ninguno,no
bajo,bajo,26000,48,4,si,ninguno,no
medio,alto,77000,37,1,si,licenciatura,no
bajo,bajo,15000,53,4,si,ninguno,no
bajo,bajo,10000,39,6,si,ninguno,si
alto,alto,67000,56,2,si,posgrado,si
medio,alto,64000,57,0,no,posgrado,si
alto,alto,55000,29,1,si,ninguno,si
alto,alto,68000,54,2,no,licenciatura,no
alto,alto,72000,35,0,si,licenciatura,si
medio,medio,33000,21,2,si,licenciatura,si
bajo,bajo,43000,57,4,si,licenciatura,no
bajo,bajo,41000,30,6,si,ninguno,no
medio,medio,33000,22,0,si,posgrado,si
bajo,medio,48000,38,1,si,licenciatura,si
bajo,bajo,41000,52,5,no,ninguno,si
alto,alto,59000,47,2,no,posgrado,si
medio,medio,37000,39,1,si,ninguno,si
medio,bajo,10000,42,0,si,licenciatura,si
bajo,bajo,1000,22,6,si,licenciatura,si
bajo,bajo,4000,49,6,no,ninguno,no
medio,medio,63000,31,0,si,posgrado,si
alto,alto,63000,36,1,no,posgrado,si
medio,medio,63000,59,0,si,licenciatura,si
alto,alto,55000,44,2,no,posgrado,si
alto,alto,50000,33,2,no,posgrado,si
alto,medio,41000,39,0,si,posgrado,si
medio,medio,54000,22,0,si,licenciatura,no
alto,alto,62000,21,2,si,licenciatura,no
alto,alto,55000,52,1,no,posgrado,si
alto,medio,65000,33,2,si,ninguno,no
bajo,bajo,42000,45,5,si,posgrado,si
medio,medio,42000,55,0,si,posgrado,si
alto,medio,65000,27,0,si,licenciatura,si
medio,bajo,45000,58,2,si,ninguno,si
alto,medio,56000,45,1,si,posgrado,si
bajo,bajo,49000,60,6,no,ninguno,no
bajo,bajo,38000,49,5,si,ninguno,no
bajo,bajo,2000,24,5,no,ninguno,no
medio,medio,34000,38,0,no,licenciatura,no
medio,bajo,22000,35,2,si,ninguno,si
alto,alto,50000,34,1,no,posgrado,si
bajo,bajo,49000,28,5,si,posgrado,no
bajo,bajo,22000,59,4,si,ninguno,no
bajo,medio,57000,30,2,si,licenciatura,no
bajo,bajo,8000,22,5,no,ninguno,no
medio,alto,57000,34,0,si,licenciatura,no
bajo,bajo,16000,27,5,no,licenciatura,si
alto,alto,67000,31,1,si,posgrado,si
medio,medio,60000,25,2,si,licenciatura,si
medio,medio,33000,47,2,si,licenciatura,si
medio,bajo,51000,40,2,no,licenciatura,si
bajo,bajo,31000,30,5,si,licenciatura,no
medio,medio,74000,27,2,no,licenciatura,no
alto,medio,78000,55,2,si,licenciatura,si
alto,alto,75000,52,0,si,posgrado,si
bajo,bajo,17000,33,4,si,ninguno,no
alto,alto,51000,60,0,si,posgrado,si
alto,medio,40000,29,1,si,licenciatura,si
alto,alto,82000,41,2,si,licenciatura,si
medio,medio,55000,44,0,no,licenciatura,no
bajo,bajo,33000,24,4,si,posgrado,no
bajo,bajo,14000,33,5,si,licenciatura,no
medio,medio,46000,23,2,si,licenciatura,no
medio,alto,65000,48,0,no,posgrado,si
alto,alto,82000,58,0,si,licenciatura,si
alto,alto,98000,43,2,si,licenciatura,si
alto,alto,66000,36,0,si,licenciatura,si
bajo,bajo,22000,38,6,si,licenciatura,no
alto,alto,90000,25,1,si,licenciatura,si
alto,medio,67000,30,0,si,ninguno,si
bajo,bajo,13000,59,5,si,licenciatura,no
medio,alto,58000,59,0,si,posgrado,si
bajo,bajo,34000,56,4,si,licenciatura,si
alto,alto,100000,30,0,si,licenciatura,si
medio,medio,65000,42,2,no,posgrado,no
bajo,medio,51000,52,1,si,licenciatura,no
bajo,medio,40000,38,2,si,licenciatura,si
alto,alto,88000,36,1,si,posgrado,si
medio,medio,75000,60,0,si,ninguno,no
medio,medio,67000,50,1,no,posgrado,no
medio,medio,71000,56,2,no,ninguno,no
medio,alto,54000,52,1,si,posgrado,no
alto,alto,71000,23,2,si,posgrado,si
bajo,bajo,50000,49,4,no,ninguno,no
alto,alto,65000,36,2,si,posgrado,si
bajo,bajo,47000,24,5,no,ninguno,no
alto,medio,64000,41,0,si,licenciatura,no
medio,alto,65000,45,2,si,posgrado,si
medio,alto,69000,50,2,si,licenciatura,si
alto,alto,97000,36,1,si,ninguno,si
medio,bajo,24000,28,0,si,ninguno,si
medio,alto,86000,32,2,si,licenciatura,si
alto,alto,79000,25,2,no,posgrado,si
alto,alto,65000,52,0,no,posgrado,si
alto,alto,76000,46,2,si,posgrado,si
bajo,medio,78000,36,1,si,licenciatura,si
alto,alto,89000,37,2,no,posgrado,no
medio,medio,72000,57,2,si,posgrado,si
bajo,bajo,48000,50,6,no,ninguno,no
bajo,bajo,37000,50,5,si,ninguno,no
bajo,bajo,28000,23,4,no,ninguno,no
alto,medio,71000,22,1,si,licenciatura,si
bajo,bajo,6000,40,5,si,licenciatura,no
bajo,bajo,48000,46,6,si,licenciatura,si
medio,alto,50000,38,1,si,licenciatura,si
bajo,bajo,30000,41,6,si,ninguno,no
medio,medio,33000,49,1,si,posgrado,si
medio,alto,94000,49,1,si,licenciatura,si
alto,alto,80000,54,0,si,posgrado,si
medio,medio,78000,52,0,si,licenciatura,si
medio,medio,34000,44,0,si,licenciatura,si
bajo,bajo,10000,25,6,si,ninguno,no
bajo,bajo,37000,37,4,no,ninguno,no
bajo,bajo,6000,52,6,no,ninguno,no
bajo,bajo,46000,31,4,si,ninguno,si
bajo,bajo,21000,46,6,si,ninguno,no
alto,alto,76000,56,0,si,posgrado,si
bajo,bajo,46000,20,5,si,ninguno,no
alto,alto,55000,31,1,si,licenciatura,si
medio,medio,69000,44,0,si,posgrado,si
medio,medio,62000,22,2,si,posgrado,si
medio,alto,66000,34,1,si,posgrado,si
alto,medio,42000,20,2,si,licenciatura,si
alto,alto,76000,38,1,no,ninguno,si
alto,alto,95000,53,2,si,posgrado,si
bajo,medio,35000,42,0,si,licenciatura,si
bajo,bajo,13000,21,6,si,ninguno,no
medio,medio,63000,42,0,si,licenciatura,si
bajo,bajo,4000,48,4,si,licenciatura,no
bajo,bajo,12000,39,5,si,posgrado,si
bajo,bajo,18000,21,6,si,licenciatura,no
alto,alto,64000,58,2,si,ninguno,si
bajo,bajo,40000,55,4,no,licenciatura,no
bajo,medio,34000,23,2,si,licenciatura,no
bajo,bajo,25000,26,4,si,ninguno,no
alto,alto,71000,40,1,no,posgrado,si
alto,alto,78000,38,2,si,posgrado,si
medio,bajo,8000,24,2,si,ninguno,si
bajo,medio,35000,34,0,si,posgrado,si
bajo,bajo,50000,33,4,si,licenciatura,no
bajo,bajo,46000,26,6,si,ninguno,no
alto,alto,100000,50,1,si,posgrado,si
alto,alto,69000,31,2,si,licenciatura,si
alto,alto,80000,28,1,no,posgrado,si
medio,medio,30000,46,2,no,licenciatura,si
medio,alto,95000,53,0,si,posgrado,si
bajo,bajo,43000,23,4,si,licenciatura,no
medio,medio,52000,46,2,no,posgrado,no
bajo,bajo,50000,59,6,si,ninguno,no
medio,medio,45000,42,0,no,licenciatura,no
alto,alto,54000,44,0,si,posgrado,si
bajo,bajo,37000,52,5,si,ninguno,si
bajo,bajo,4000,51,5,si,licenciatura,no
alto,alto,78000,43,1,si,licenciatura,si
medio,medio,48000,49,1,si,ninguno,no
alto,alto,99000,37,1,si,posgrado,si
alto,alto,92000,55,2,si,posgrado,si
bajo,bajo,46000,35,4,si,licenciatura,no
alto,medio,76000,33,2,si,licenciatura,no
medio,alto,53000,29,0,no,licenciatura,si
alto,medio,30000,31,0,no,licenciatura,si
bajo,bajo,30000,51,5,no,ninguno,si
bajo,bajo,48000,60,4,si,licenciatura,no
bajo,bajo,47000,42,4,si,ninguno,si
bajo,bajo,19000,45,6,si,ninguno,no
bajo,bajo,7000,21,6,si,licenciatura,si
medio,alto,83000,22,0,si,posgrado,si
alto,alto,100000,53,0,no,licenciatura,si
bajo,medio,62000,28,1,no,licenciatura,no
alto,alto,96000,50,0,si,posgrado,si
alto,alto,56000,46,0,si,posgrado,si
alto,medio,74000,34,2,si,ninguno,si
medio,medio,78000,30,1,si,licenciatura,si
medio,medio,30000,46,1,no,ninguno,si
medio,medio,75000,49,2,si,posgrado,no
bajo,bajo,49000,49,4,si,ninguno,no
bajo,bajo,23000,59,6,si,licenciatura,no
alto,alto,63000,34,0,si,licenciatura,si
bajo,bajo,4000,55,6,si,licenciatura,no
medio,alto,86000,25,1,si,posgrado,si
bajo,bajo,42000,32,4,si,licenciatura,no
alto,medio,48000,54,1,si,licenciatura,si
medio,alto,89000,51,1,si,posgrado,si
bajo,bajo,14000,41,5,no,licenciatura,no
bajo,medio,60000,52,0,si,posgrado,si
medio,alto,54000,37,1,no,posgrado,si
bajo,bajo,18000,52,4,si,posgrado,si
bajo,bajo,40000,30,4,si,ninguno,si
alto,alto,97000,49,2,no,posgrado,si
bajo,bajo,19000,47,6,si,licenciatura,no
medio,medio,76000,23,1,no,ninguno,no
alto,alto,88000,37,2,si,posgrado,si
medio,bajo,31000,31,2,si,licenciatura,no
alto,alto,98000,28,2,si,posgrado,si
medio,medio,61000,26,2,si,posgrado,no
medio,medio,35000,47,2,si,ninguno,si
bajo,bajo,20000,22,4,si,ninguno,si
alto,alto,90000,58,2,si,posgrado,si
bajo,bajo,28000,25,5,si,ninguno,no
medio,medio,67000,29,1,no,ninguno,no
alto,alto,56000,33,0,si,posgrado,si
bajo,bajo,3000,37,5,no,ninguno,no
medio,medio,59000,48,1,si,posgrado,no
medio,medio,47000,41,0,si,licenciatura,si
alto,alto,67000,30,2,si,posgrado,si
alto,alto,54000,50,0,si,posgrado,no
medio,bajo,14000,52,2,no,ninguno,si
medio,medio,72000,60,0,no,ninguno,no
medio,medio,33000,49,2,si,licenciatura,si
alto,alto,57000,27,2,si,posgrado,si
medio,alto,54000,59,1,si,posgrado,si
alto,alto,91000,60,2,si,posgrado,si
medio,medio,39000,33,2,si,posgrado,si
bajo,bajo,15000,45,4,no,licenciatura,no
medio,medio,39000,36,0,si,licenciatura,no
medio,alto,78000,58,0,si,licenciatura,si
medio,medio,35000,44,0,si,ninguno,si
medio,medio,42000,35,2,si,ninguno,si
bajo,bajo,37000,30,6,si,licenciatura,no
alto,medio,39000,27,0,si,licenciatura,si
alto,alto,80000,49,1,no,posgrado,si
alto,alto,97000,25,0,no,posgrado,si
medio,alto,83000,20,0,si,posgrado,si
alto,alto,52000,44,1,si,posgrado,si
bajo,bajo,3000,59,4,no,licenciatura,no
alto,alto,86000,55,0,si,licenciatura,si
medio,medio,67000,20,1,no,licenciatura,no
medio,bajo,26000,37,0,no,ninguno,no
alto,medio,75000,41,1,no,licenciatura,no
alto,alto,93000,24,2,si,posgrado,si
medio,bajo,6000,56,2,si,licenciatura,si
alto,medio,69000,42,2,si,licenciatura,no
alto,alto,51000,22,0,si,licenciatura,si
medio,medio,41000,28,1,si,licenciatura,si
bajo,bajo,3000,23,4,no,ninguno,no
bajo,bajo,9000,50,5,si,ninguno,no
bajo,bajo,12000,41,4,no,licenciatura,no
bajo,bajo,48000,50,4,si,ninguno,si
bajo,bajo,29000,42,6,no,posgrado,no
bajo,bajo,33000,60,5,si,licenciatura,no
medio,medio,62000,51,2,si,licenciatura,no
bajo,bajo,30000,54,4,si,ninguno,si
bajo,medio,40000,29,2,si,licenciatura,si
bajo,bajo,51000,34,5,si,ninguno,no
medio,medio,71000,57,2,si,posgrado,si
alto,alto,84000,28,0,si,posgrado,si
alto,alto,97000,57,2,no,posgrado,no
alto,medio,52000,53,0,no,ninguno,no
bajo,bajo,28000,30,6,si,ninguno,si
alto,alto,69000,42,2,si,licenciatura,si
medio,medio,67000,57,1,si,licenciatura,no
medio,alto,100000,40,2,si,posgrado,si
alto,medio,58000,56,0,si,ninguno,si
alto,medio,70000,54,2,si,posgrado,si
bajo,bajo,1000,50,5,no,ninguno,no
medio,bajo,4000,23,1,no,ninguno,no
bajo,bajo,35000,40,4,no,ninguno,no
alto,alto,95000,23,1,si,licenciatura,no
medio,medio,37000,27,0,si,licenciatura,no
medio,medio,60000,45,0,si,licenciatura,si
